,name,satisfaction_level,last_evaluation,number_projects,average_monthly_hours,time_spent_company,work_accident,left,promotion_last_5_years,department,salary,salary_level,prob_not_leaving,prob_leaving
14191,GULLY,0.79,0.87,4,223,5,0,0,0,sales,medium,2,0.0,1.0
11961,DAVIDS,0.9,0.89,4,254,7,0,0,0,product_mng,low,1,0.0,1.0
5847,SHELLY,0.77,0.85,5,221,5,0,0,0,technical,low,1,0.0,1.0
13954,CLASS,0.79,0.86,5,238,8,0,0,0,sales,low,1,0.0,1.0
11743,CASHION,0.79,0.86,5,238,8,0,0,0,sales,low,1,0.0,1.0
6358,BRUMBAUGH,0.81,0.98,5,243,6,0,0,0,sales,medium,2,0.0,1.0
3780,PEACE,0.86,0.96,5,238,5,0,0,0,technical,low,1,0.0,1.0
11980,TIERNAN,0.79,0.87,4,223,5,0,0,0,sales,medium,2,0.0,1.0
13844,ROSENSTEIN,0.77,0.89,4,269,10,0,0,0,management,high,3,0.0,1.0
7443,DENG,0.85,0.96,4,240,6,0,0,0,technical,medium,2,0.0,1.0
11633,TICHENOR,0.77,0.89,4,269,10,0,0,0,management,high,3,0.0,1.0
14172,CAUDELL,0.9,0.89,4,254,7,0,0,0,product_mng,low,1,0.0,1.0
11615,ROSENZWEIG,0.87,0.89,4,225,8,0,0,0,marketing,low,1,0.0,1.0
6263,DEGROOT,0.9,0.87,4,231,5,0,0,0,management,low,1,0.0,1.0
10098,CHILSON,0.73,0.83,5,266,5,0,0,0,sales,low,1,0.0,1.0
13826,METHENY,0.87,0.89,4,225,8,0,0,0,marketing,low,1,0.0,1.0
7762,MURPHEY,0.82,0.87,5,273,6,0,0,0,support,medium,2,0.0,1.0
13973,GAXIOLA,0.81,0.9,4,270,10,0,0,0,accounting,medium,2,0.1,0.9
11762,TIMOTHY,0.81,0.9,4,270,10,0,0,0,accounting,medium,2,0.1,0.9
7077,ESQUEDA,0.9,0.85,4,279,6,0,0,0,support,medium,2,0.1,0.9
2415,CHAVIS,0.92,0.97,4,238,5,1,0,0,support,medium,2,0.2,0.8
5994,BANTA,0.8,0.99,4,255,5,1,0,0,technical,low,1,0.2,0.8
14207,SIMEON,0.74,0.95,5,266,10,0,0,1,management,high,3,0.2,0.8
11996,KIMBERLY,0.74,0.95,5,266,10,0,0,1,management,high,3,0.2,0.8
11511,WIND,0.72,0.88,5,216,10,1,0,0,support,medium,2,0.3,0.7
3210,MORTENSEN,0.7,0.88,3,166,5,0,0,0,technical,low,1,0.3,0.7
13722,TYNAN,0.72,0.88,5,216,10,1,0,0,support,medium,2,0.3,0.7
7004,NAM,0.85,0.87,6,232,6,0,0,0,technical,low,1,0.3,0.7
5697,COLIN,0.81,0.98,6,196,2,0,0,0,support,low,1,0.3,0.7
11761,MCCONKEY,0.88,0.83,4,273,10,0,0,0,sales,medium,2,0.3,0.7
13972,IACONO,0.88,0.83,4,273,10,0,0,0,sales,medium,2,0.3,0.7
13438,ARDEN,0.48,0.93,3,150,10,0,0,0,technical,low,1,0.4,0.6
4455,LEMIEUX,0.68,1.0,6,258,5,0,0,0,sales,low,1,0.4,0.6
11084,DENNARD,0.93,0.94,4,233,6,0,0,0,IT,medium,2,0.4,0.6
13295,CLOWER,0.93,0.94,4,233,6,0,0,0,IT,medium,2,0.4,0.6
13315,HOYE,0.85,0.87,6,232,5,0,0,0,management,high,3,0.4,0.6
11227,KELM,0.48,0.93,3,150,10,0,0,0,technical,low,1,0.4,0.6
2233,THURSTON,0.7,0.89,6,214,2,0,0,0,sales,low,1,0.4,0.6
11104,SMOAK,0.85,0.87,6,232,5,0,0,0,management,high,3,0.4,0.6
7147,CAMPAGNA,0.36,0.95,6,276,2,0,0,0,support,low,1,0.5,0.5
13877,LAFEVER,0.98,0.99,4,261,10,1,0,0,sales,low,1,0.5,0.5
10673,RAKESTRAW,0.63,0.72,6,163,4,0,0,0,IT,high,3,0.5,0.5
3525,TRUITT,0.67,0.84,6,250,2,0,0,0,sales,low,1,0.5,0.5
7639,KIGER,0.58,0.92,3,232,5,0,0,0,marketing,medium,2,0.5,0.5
4843,SCHNELL,0.7,0.98,4,176,5,0,0,0,technical,low,1,0.5,0.5
11120,SHIPE,0.68,0.89,5,218,5,0,0,0,sales,low,1,0.5,0.5
6768,KATO,0.31,0.75,4,220,3,0,0,0,support,low,1,0.5,0.5
13974,FERLAND,0.59,0.92,3,138,10,0,0,0,support,low,1,0.5,0.5
11666,VILLAFUERTE,0.98,0.99,4,261,10,1,0,0,sales,low,1,0.5,0.5
12884,MORONEY,0.63,0.72,6,163,4,0,0,0,IT,high,3,0.5,0.5
8346,LAVERY,0.28,0.77,3,221,3,0,0,0,sales,high,3,0.5,0.5
7918,ARMS,0.9,0.81,6,273,5,0,0,0,technical,medium,2,0.5,0.5
13331,BAYLISS,0.68,0.89,5,218,5,0,0,0,sales,low,1,0.5,0.5
6726,NORD,0.87,0.95,3,242,5,0,0,0,sales,low,1,0.5,0.5
11763,LEEMAN,0.59,0.92,3,138,10,0,0,0,support,low,1,0.5,0.5
10237,FARWELL,0.88,0.81,4,235,6,0,0,0,sales,medium,2,0.5,0.5
11838,KOVAR,0.43,0.88,2,149,4,0,0,0,product_mng,medium,2,0.6,0.4
8795,BELMONTE,0.48,0.89,3,224,3,0,0,0,sales,low,1,0.6,0.4
10345,KIRKENDALL,0.91,0.82,6,280,3,0,0,0,technical,low,1,0.6,0.4
14061,LIPARI,0.16,0.7,3,178,3,1,0,0,technical,low,1,0.6,0.4
8975,SMITHERS,0.88,0.72,5,181,4,0,0,0,technical,low,1,0.6,0.4
14049,ROGALSKI,0.43,0.88,2,149,4,0,0,0,product_mng,medium,2,0.6,0.4
14045,MANER,0.53,1.0,3,164,4,0,0,0,IT,medium,2,0.6,0.4
9240,MAHAR,0.19,1.0,4,188,4,1,0,0,marketing,medium,2,0.6,0.4
4076,PEAK,0.8,0.8,4,252,6,0,0,0,hr,medium,2,0.6,0.4
5058,MOREIRA,0.67,1.0,4,145,3,1,0,1,sales,medium,2,0.6,0.4
11834,DETRICK,0.53,1.0,3,164,4,0,0,0,IT,medium,2,0.6,0.4
4445,CARDOSO,0.91,0.91,6,167,2,1,0,0,sales,low,1,0.6,0.4
11850,SMIDT,0.16,0.7,3,178,3,1,0,0,technical,low,1,0.6,0.4
11226,RUBALCABA,0.57,1.0,4,227,10,0,0,0,technical,low,1,0.6,0.4
8128,RAMAGE,0.96,0.91,3,260,5,0,0,0,technical,low,1,0.6,0.4
8640,KNIGHTEN,0.34,0.88,5,131,6,0,0,0,sales,low,1,0.6,0.4
3087,BONE,0.17,0.76,4,280,5,0,0,0,hr,low,1,0.6,0.4
9985,BUHLER,0.37,0.71,6,266,5,0,0,0,IT,low,1,0.6,0.4
5769,REGO,0.49,0.86,5,235,5,0,0,0,technical,low,1,0.6,0.4
4629,ROHDE,0.9,1.0,2,114,5,0,0,0,support,high,3,0.6,0.4
11198,ARMISTEAD,0.56,0.87,3,146,10,0,0,0,sales,low,1,0.6,0.4
8677,AMAN,0.2,1.0,3,123,4,0,0,0,support,low,1,0.6,0.4
7523,FORTSON,0.48,0.79,3,180,2,0,0,0,technical,medium,2,0.6,0.4
11195,AUTEN,0.47,0.79,3,284,10,0,0,0,sales,low,1,0.6,0.4
13406,PELZER,0.47,0.79,3,284,10,0,0,0,sales,low,1,0.6,0.4
10082,GREENAWALT,0.73,1.0,2,229,3,0,0,0,marketing,medium,2,0.6,0.4
13409,KULKARNI,0.56,0.87,3,146,10,0,0,0,sales,low,1,0.6,0.4
2783,CORNWELL,0.61,0.93,2,247,3,0,0,0,technical,low,1,0.6,0.4
13560,STRATMAN,0.95,0.9,4,221,10,1,0,0,management,high,3,0.6,0.4
5565,AUGUSTIN,0.84,0.84,6,261,5,0,0,0,product_mng,low,1,0.6,0.4
13437,BERAN,0.57,1.0,4,227,10,0,0,0,technical,low,1,0.6,0.4
10360,BOSE,0.12,0.7,5,277,3,0,0,0,support,medium,2,0.6,0.4
7712,CANTOR,0.6,0.86,6,272,4,0,0,0,technical,low,1,0.6,0.4
11349,NISHIMURA,0.95,0.9,4,221,10,1,0,0,management,high,3,0.6,0.4
4534,KLING,0.7,0.84,6,225,6,0,0,0,accounting,low,1,0.6,0.4
13419,HOLZMAN,0.93,0.73,4,283,7,0,0,0,sales,high,3,0.7,0.3
7734,TARANTINO,0.34,0.78,5,137,4,0,0,0,sales,low,1,0.7,0.3
3932,LEIGHTON,0.86,0.73,5,259,2,0,0,0,technical,medium,2,0.7,0.3
7834,KILBURN,0.58,0.79,2,274,4,0,0,0,support,medium,2,0.7,0.3
8629,IQBAL,0.19,0.9,5,172,2,0,0,0,support,low,1,0.7,0.3
10119,GARDEA,0.97,0.93,2,160,6,0,0,0,technical,medium,2,0.7,0.3
13382,COPPLE,0.65,0.91,4,243,5,1,0,0,IT,medium,2,0.7,0.3
11956,COURNOYER,0.85,0.87,4,152,7,0,0,0,sales,low,1,0.7,0.3
3810,PEEBLES,0.19,0.8,6,143,4,0,0,0,RandD,medium,2,0.7,0.3
11950,DISMUKE,0.49,0.88,4,244,3,0,0,0,sales,low,1,0.7,0.3
6349,TURMAN,0.34,0.81,4,116,3,1,0,0,sales,low,1,0.7,0.3
6366,MANION,0.6,0.91,3,157,4,0,0,0,hr,medium,2,0.7,0.3
11941,BEDNARZ,0.58,1.0,4,220,10,0,0,0,marketing,medium,2,0.7,0.3
13442,PINERO,0.79,0.83,3,126,10,1,0,0,support,low,1,0.7,0.3
13329,NETTLETON,0.49,1.0,2,125,4,1,0,0,sales,low,1,0.7,0.3
3861,LANNING,0.79,0.83,2,192,3,0,0,0,support,low,1,0.7,0.3
2959,FERRY,0.55,0.82,2,197,4,0,0,0,technical,low,1,0.7,0.3
13410,GIMENEZ,0.84,0.85,4,207,10,0,0,0,sales,low,1,0.7,0.3
13716,LONGWELL,0.65,0.89,4,204,8,1,0,0,support,low,1,0.7,0.3
5586,FUTRELL,0.81,0.99,2,156,5,0,0,0,sales,medium,2,0.7,0.3
13094,PALMERI,0.48,0.86,5,198,4,0,0,0,technical,low,1,0.7,0.3
10809,PLAISANCE,0.51,0.74,6,98,3,0,0,0,support,low,1,0.7,0.3
12959,KINSLOW,0.14,0.73,6,237,5,0,0,0,IT,medium,2,0.7,0.3
5335,MEDLOCK,0.12,0.73,6,166,3,0,0,0,IT,low,1,0.7,0.3
7387,ROZIER,0.93,0.71,5,270,2,0,0,0,technical,high,3,0.7,0.3
